FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,49.5424,71.2562,71.2562,True,51.1260,-inf,51.1260,False,48.1842,73.9565,73.9565,True,59.0606,66.2496,66.2496,True
20.0,52.4953,68.1357,68.1357,True,49.8637,70.5428,70.5428,True,49.8613,69.4540,69.4540,True,54.8096,61.0868,61.0868,True
30.0,50.7295,70.0773,70.0773,True,49.1281,71.4272,71.4272,True,47.7960,69.5518,69.5518,True,51.9454,62.3358,62.3358,True
40.0,25.6456,70.0351,70.0351,True,46.1633,69.3888,69.3888,True,42.8177,68.6682,68.6682,True,25.6934,63.8338,63.8338,True
50.0,16.7580,71.2699,71.2699,True,43.7005,69.4304,69.4304,True,39.9252,88.0225,88.0225,True,16.7093,64.2581,64.2581,True
60.0,16.6452,71.4272,71.4272,True,40.7236,68.3474,68.3474,True,35.6526,86.9165,86.9165,True,16.6076,78.1964,78.1964,True
70.0,16.5767,70.9467,70.9467,True,29.6814,68.7382,68.7382,True,26.3321,86.1991,86.1991,True,16.2804,77.4417,77.4417,True
80.0,16.5261,80.9667,80.9667,True,22.9517,68.4030,68.4030,True,21.2231,85.7822,85.7822,True,16.2392,77.1139,77.1139,True
90.0,16.4693,80.8208,80.8208,True,22.8039,68.6705,68.6705,True,21.1572,85.6532,85.6532,True,16.2371,76.9695,76.9695,True
