FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,-inf,71.2562,71.2562,True,79.7767,-inf,79.7767,False,3.0980,71.2562,71.2562,True,13.3801,-inf,13.3801,False
20.0,-inf,75.5561,75.5561,True,45.5902,66.4802,66.4802,True,30.0728,72.9669,72.9669,True,37.1918,64.2837,64.2837,True
30.0,-63.7617,74.9325,74.9325,True,54.3236,68.9781,68.9781,True,41.3619,75.9171,75.9171,True,9.0964,65.9797,65.9797,True
40.0,-64.4387,74.6739,74.6739,True,54.2002,67.8561,67.8561,True,43.1067,90.5499,90.5499,True,13.9129,62.0789,62.0789,True
50.0,-64.5680,74.6417,74.6417,True,50.1710,67.1682,67.1682,True,34.3099,88.9867,88.9867,True,14.2140,80.9605,80.9605,True
60.0,-64.7207,73.6351,73.6351,True,48.0698,67.3976,67.3976,True,33.8188,87.8736,87.8736,True,14.1791,79.6660,79.6660,True
70.0,-64.8060,72.9242,72.9242,True,45.1258,66.1760,66.1760,True,32.9368,87.1245,87.1245,True,14.1399,78.9288,78.9288,True
80.0,-65.2205,72.6467,72.6467,True,44.9687,65.4641,65.4641,True,32.7008,86.7359,86.7359,True,14.0853,78.5389,78.5389,True
90.0,-65.2538,75.1964,75.1964,True,44.9752,65.2302,65.2302,True,28.2976,86.6058,86.6058,True,14.0648,78.3651,78.3651,True
