FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,60.7922,66.2496,66.2496,True,70.3342,-inf,70.3342,False,62.3732,73.9565,73.9565,True,64.3153,-inf,64.3153,False
20.0,57.0316,68.1357,68.1357,True,62.4964,66.4802,66.4802,True,58.9739,71.4662,71.4662,True,57.6325,-inf,57.6325,False
30.0,51.6429,68.9781,68.9781,True,52.2849,67.6483,67.6483,True,51.9563,70.0773,70.0773,True,51.3316,49.0199,51.3316,False
40.0,47.5502,72.3095,72.3095,True,49.4875,66.9287,66.9287,True,47.9426,68.2749,68.2749,True,46.4509,59.7715,59.7715,True
50.0,43.8649,71.9361,71.9361,True,45.6749,65.6583,65.6583,True,44.7900,69.1876,69.1876,True,43.3698,63.7218,63.7218,True
60.0,19.4096,72.1826,72.1826,True,19.5924,65.9797,65.9797,True,19.4603,69.5518,69.5518,True,19.4184,64.1887,64.1887,True
70.0,19.1549,84.6889,84.6889,True,19.3367,67.1447,67.1447,True,19.1689,84.5678,84.5678,True,19.1525,64.4038,64.4038,True
80.0,18.5924,84.2871,84.2871,True,19.1348,74.9044,74.9044,True,18.6874,84.1583,84.1583,True,18.9980,74.3746,74.3746,True
90.0,18.5788,84.1370,84.1370,True,19.0857,74.7677,74.7677,True,18.6736,84.0160,84.0160,True,18.9498,74.1791,74.1791,True
