FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,60.7922,67.0149,67.0149,True,70.3342,-inf,70.3342,False,62.3732,74.4425,74.4425,True,64.3153,-inf,64.3153,False
20.0,57.0316,68.8423,68.8423,True,62.4964,67.2386,67.2386,True,58.9739,72.0525,72.0525,True,57.6325,-inf,57.6325,False
30.0,51.6429,69.6562,69.6562,True,52.2849,68.3707,68.3707,True,51.9563,70.7161,70.7161,True,51.3316,50.0445,51.3316,False
40.0,47.5502,72.8625,72.8625,True,49.4875,67.6737,67.6737,True,47.9426,68.9769,68.9769,True,46.4509,60.6844,60.6844,True
50.0,43.8649,72.5040,72.5040,True,45.6749,66.4405,66.4405,True,44.7900,69.8584,69.8584,True,43.3698,64.5542,64.5542,True
60.0,19.4096,72.7407,72.7407,True,19.5924,66.7527,66.7527,True,19.4603,70.2097,70.2097,True,19.4184,65.0097,65.0097,True
70.0,19.1549,84.8033,84.8033,True,19.3367,67.8830,67.8830,True,19.1689,84.6847,84.6847,True,19.1525,65.2194,65.2194,True
80.0,18.5924,84.4102,84.4102,True,19.1348,75.3512,75.3512,True,18.6874,84.2843,84.2843,True,18.9980,74.8433,74.8433,True
90.0,18.5788,84.2634,84.2634,True,19.0857,75.2201,75.2201,True,18.6736,84.1452,84.1452,True,18.9498,74.6559,74.6559,True
