FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,-inf,67.0149,67.0149,True,110.2289,-inf,110.2289,False,60.7935,74.4425,74.4425,True,70.3395,74.4425,74.4425,True
20.0,-inf,71.1644,71.1644,True,74.5326,-inf,74.5326,False,58.2762,74.6310,74.6310,True,59.7223,70.1153,70.1153,True
30.0,-inf,70.2097,70.2097,True,71.0385,55.8440,71.0385,False,51.9587,73.0708,73.0708,True,51.3381,70.7161,70.7161,True
40.0,-inf,71.9924,71.9924,True,63.7052,65.3842,65.3842,True,46.2927,72.8625,72.8625,True,45.4985,69.7147,69.7147,True
50.0,-inf,71.6917,71.6917,True,59.0514,66.8390,66.8390,True,43.0200,72.3506,72.3506,True,42.8024,68.5291,68.5291,True
60.0,-inf,71.4735,71.4735,True,53.4241,66.1091,66.1091,True,19.4481,71.8843,71.8843,True,19.4096,67.8756,67.8756,True
70.0,-inf,84.7484,84.7484,True,51.1460,66.1372,66.1372,True,19.1712,84.8033,84.8033,True,19.1259,67.8830,67.8830,True
80.0,-62.1510,84.3634,84.3634,True,49.5672,66.2517,66.2517,True,18.8850,84.4024,84.4024,True,18.9226,75.4575,75.4575,True
90.0,-62.1578,84.2165,84.2165,True,48.4392,66.9787,66.9787,True,18.8709,84.2634,84.2634,True,18.9093,75.3260,75.3260,True
