FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,49.5279,73.9565,73.9565,True,55.5388,-inf,55.5388,False,51.1405,77.1072,77.1072,True,59.0847,71.2562,71.2562,True
20.0,48.1563,72.2650,72.2650,True,51.5159,68.1357,68.1357,True,50.2631,74.6625,74.6625,True,54.1817,68.1357,68.1357,True
30.0,45.7687,72.5265,72.5265,True,47.3877,68.9781,68.9781,True,45.7830,72.5265,72.5265,True,53.4133,65.9797,65.9797,True
40.0,25.1306,71.6436,71.6436,True,44.0581,67.4087,67.4087,True,43.5545,72.0959,72.0959,True,25.7136,65.2416,65.2416,True
50.0,16.5153,71.9361,71.9361,True,41.1740,67.4979,67.4979,True,40.3590,88.1170,88.1170,True,16.7538,66.8212,66.8212,True
60.0,16.4142,71.4272,71.4272,True,39.1675,68.3474,68.3474,True,35.3244,87.0448,87.0448,True,16.6565,78.5281,78.5281,True
70.0,16.3326,71.6461,71.6461,True,29.1728,67.5809,67.5809,True,26.1090,86.3219,86.3219,True,16.3204,77.7347,77.7347,True
80.0,16.2803,81.0808,81.0808,True,22.7066,67.6874,67.6874,True,21.0742,85.9106,85.9106,True,16.2778,77.3292,77.3292,True
90.0,16.2342,80.9188,80.9188,True,22.5864,68.1795,68.1795,True,21.0461,85.7979,85.7979,True,16.2570,77.1843,77.1843,True
