FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,13.8602,29.5000,26.8319,13.9674,21.0399,13.8602
10.0,13.8518,30.2248,26.5493,14.0377,21.1659,13.8518
20.0,13.7887,29.3454,25.9451,13.9141,20.7483,13.7887
30.0,13.7180,29.5507,26.5240,14.0322,20.9562,13.7180
40.0,13.8400,29.9257,26.1969,13.9268,20.9723,13.8400
50.0,13.8173,28.9915,26.1424,13.9849,20.7340,13.8173
60.0,13.7446,29.5157,26.0326,13.9618,20.8137,13.7446
70.0,13.8438,30.2257,26.3792,14.0118,21.1151,13.8438
80.0,13.9563,29.6221,26.3699,13.9096,20.9645,13.9096
90.0,13.9034,29.1928,26.0855,14.0183,20.8000,13.9034
