FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,2.9226,71.8506,71.8506,True,-1.5836,67.0149,67.0149,True,-0.0000,74.4425,74.4425,True,6.0206,-inf,6.0206,False
20.0,32.7004,78.6494,78.6494,True,26.4902,70.1153,70.1153,True,25.8543,70.1153,70.1153,True,34.9947,56.3906,56.3906,True
30.0,9.0277,77.1159,77.1159,True,39.9518,68.3707,68.3707,True,38.3004,75.9652,75.9652,True,9.0308,63.1997,63.1997,True
40.0,13.8535,76.4054,76.4054,True,41.6597,70.3721,70.3721,True,40.4367,90.5806,90.5806,True,13.8633,60.6844,60.6844,True
50.0,14.3925,75.0052,75.0052,True,39.6817,69.6147,69.6147,True,30.3731,89.0178,89.0178,True,14.1784,81.1746,81.1746,True
60.0,14.3069,74.2213,74.2213,True,38.4597,69.4598,69.4598,True,30.0356,87.9127,87.9127,True,14.0691,80.0579,80.0579,True
70.0,14.2193,73.6191,73.6191,True,36.8522,68.7014,68.7014,True,29.6224,87.1780,87.1780,True,14.0138,79.2938,79.2938,True
80.0,13.8196,73.3456,73.3456,True,35.1731,74.4750,74.4750,True,29.2757,86.7681,86.7681,True,13.9590,78.8652,78.8652,True
90.0,13.8197,75.7287,75.7287,True,29.8171,74.2856,74.2856,True,26.1313,86.6310,86.6310,True,13.9378,78.6981,78.6981,True
