FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,-3.5218,73.9565,73.9565,True,7.9588,66.2496,66.2496,True,5.1054,77.1072,77.1072,True,1.3389,66.2496,66.2496,True
20.0,31.6413,74.1532,74.1532,True,28.2690,69.4540,69.4540,True,27.9890,71.4662,71.4662,True,33.4111,66.4802,66.4802,True
30.0,9.0006,73.1579,73.1579,True,39.7819,68.3474,68.3474,True,38.6255,75.9171,75.9171,True,9.0231,62.3358,62.3358,True
40.0,13.7456,73.7803,73.7803,True,40.6496,68.6682,68.6682,True,41.0905,90.5544,90.5544,True,13.8517,62.0789,62.0789,True
50.0,14.2608,73.0758,73.0758,True,38.7496,68.9351,68.9351,True,30.6426,89.0002,89.0002,True,14.1838,81.0685,81.0685,True
60.0,14.2008,72.5265,72.5265,True,37.0298,69.9070,69.9070,True,30.1457,87.9189,87.9189,True,14.0092,79.8590,79.8590,True
70.0,14.1333,71.6461,71.6461,True,36.1116,69.0818,69.0818,True,29.8106,87.1882,87.1882,True,13.8790,79.1734,79.1734,True
80.0,13.7425,71.2211,71.2211,True,34.6553,74.3746,74.3746,True,29.6212,86.7813,86.7813,True,13.8162,78.7012,78.7012,True
90.0,13.7238,74.4223,74.4223,True,29.5581,74.1791,74.1791,True,26.3572,86.6511,86.6511,True,13.8081,78.5813,78.5813,True
