FOV_deg,Outage_MinimumService,Outage_TargetService
10.0,0.0000,0.0000
20.0,0.0000,0.0000
30.0,0.0000,0.0000
40.0,0.0000,0.0000
50.0,0.0000,0.0000
60.0,0.0000,0.0000
70.0,0.0000,0.0000
80.0,0.0000,0.0000
90.0,0.0000,0.0000
