FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,49.5424,71.8506,71.8506,True,51.1260,-inf,51.1260,False,48.1842,74.4425,74.4425,True,59.0606,67.0149,67.0149,True
20.0,52.4953,68.8423,68.8423,True,49.8637,71.1644,71.1644,True,49.8613,70.1153,70.1153,True,54.8096,61.9760,61.9760,True
30.0,50.7295,70.7161,70.7161,True,49.1281,72.0150,72.0150,True,47.7960,70.2097,70.2097,True,51.9454,63.1997,63.1997,True
40.0,25.6456,70.6755,70.6755,True,46.1633,70.0524,70.0524,True,42.8177,69.3569,69.3569,True,25.6934,64.6636,64.6636,True
50.0,16.7580,71.8638,71.8638,True,43.7005,70.0926,70.0926,True,39.9252,88.0822,88.0822,True,16.7093,65.0774,65.0774,True
60.0,16.6452,72.0150,72.0150,True,40.7236,69.0469,69.0469,True,35.6526,86.9911,86.9911,True,16.6076,78.5094,78.5094,True
70.0,16.5767,71.5530,71.5530,True,29.6814,69.4245,69.4245,True,26.3321,86.2851,86.2851,True,16.2804,77.7845,77.7845,True
80.0,16.5261,81.1806,81.1806,True,22.9517,69.1007,69.1007,True,21.2231,85.8754,85.8754,True,16.2392,77.4698,77.4698,True
90.0,16.4693,81.0394,81.0394,True,22.8039,69.3592,69.3592,True,21.1572,85.7487,85.7487,True,16.2371,77.3312,77.3312,True
