FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,-inf,71.2562,71.2562,True,65.1050,-inf,65.1050,False,55.5533,66.2496,66.2496,True,55.5630,-inf,55.5630,False
20.0,-inf,72.2650,72.2650,True,77.1041,61.0868,77.1041,False,52.4965,64.2837,64.2837,True,57.1067,-inf,57.1067,False
30.0,-inf,74.9325,74.9325,True,63.3568,64.9611,64.9611,True,49.3838,69.5518,69.5518,True,51.6261,58.2179,58.2179,True
40.0,-inf,73.9397,73.9397,True,55.7106,67.4087,67.4087,True,44.7559,68.6682,68.6682,True,25.7306,61.0137,61.0137,True
50.0,-inf,73.8017,73.8017,True,52.0553,67.1682,67.1682,True,42.0686,88.0225,88.0225,True,16.7842,63.1419,63.1419,True
60.0,-inf,73.9894,73.9894,True,49.0199,67.3976,67.3976,True,37.3324,86.9615,86.9615,True,16.7307,78.2344,78.2344,True
70.0,-inf,73.1827,73.1827,True,48.1440,67.3664,67.3664,True,28.0733,86.2498,86.2498,True,16.5139,77.4039,77.4039,True
80.0,-63.7052,81.3314,81.3314,True,47.3404,67.0942,67.0942,True,22.1480,85.8217,85.8217,True,16.4945,76.8891,76.8891,True
90.0,-63.7842,81.1705,81.1705,True,46.6016,66.8658,66.8658,True,22.1065,85.6926,85.6926,True,16.4812,76.8210,76.8210,True
