FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,-inf,66.2496,66.2496,True,110.2285,-inf,110.2285,False,60.7935,73.9565,73.9565,True,70.3395,73.9565,73.9565,True
20.0,-inf,70.5428,70.5428,True,74.5326,-inf,74.5326,False,58.2762,74.1532,74.1532,True,59.7223,69.4540,69.4540,True
30.0,-inf,69.5518,69.5518,True,71.0385,54.8649,71.0385,False,51.9587,72.5265,72.5265,True,51.3381,70.0773,70.0773,True
40.0,-inf,71.4037,71.4037,True,63.7052,64.5729,64.5729,True,46.2927,72.3095,72.3095,True,45.4985,69.0387,69.0387,True
50.0,-inf,71.0909,71.0909,True,59.0514,66.0685,66.0685,True,43.0200,71.7765,71.7765,True,42.8024,67.8119,67.8119,True
60.0,-inf,70.8641,70.8641,True,53.4241,65.3176,65.3176,True,19.4481,71.2913,71.2913,True,19.4096,67.1370,67.1370,True
70.0,-inf,84.6328,84.6328,True,51.1460,65.3464,65.3464,True,19.1712,84.6889,84.6889,True,19.1259,67.1447,67.1447,True
80.0,-62.1510,84.2393,84.2393,True,49.5672,65.4641,65.4641,True,18.8850,84.2792,84.2792,True,18.9226,75.0154,75.0154,True
90.0,-62.1578,84.0890,84.0890,True,48.4392,66.2123,66.2123,True,18.8709,84.1370,84.1370,True,18.9093,74.8782,74.8782,True
