FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,2.9226,71.2562,71.2562,True,-1.5836,66.2496,66.2496,True,-0.0000,73.9565,73.9565,True,6.0206,-inf,6.0206,False
20.0,32.7004,78.3420,78.3420,True,26.4902,69.4540,69.4540,True,25.8543,69.4540,69.4540,True,34.9947,55.4175,55.4175,True
30.0,9.0277,76.7451,76.7451,True,39.9518,67.6483,67.6483,True,38.3004,75.5450,75.5450,True,9.0308,62.3358,62.3358,True
40.0,13.8535,76.0042,76.0042,True,41.6597,69.7203,69.7203,True,40.4367,90.5454,90.5454,True,13.8633,59.7715,59.7715,True
50.0,14.3925,74.5435,74.5435,True,39.6817,68.9351,68.9351,True,30.3731,88.9687,88.9687,True,14.1784,80.9605,80.9605,True
60.0,14.3069,73.7258,73.7258,True,38.4597,68.7747,68.7747,True,30.0356,87.8508,87.8508,True,14.0691,79.8046,79.8046,True
70.0,14.2193,73.0979,73.0979,True,36.8522,67.9900,67.9900,True,29.6224,87.1061,87.1061,True,14.0138,79.0117,79.0117,True
80.0,13.8196,72.8128,72.8128,True,35.1731,73.9904,73.9904,True,29.2757,86.6901,86.6901,True,13.9590,78.5663,78.5663,True
90.0,13.8197,75.2984,75.2984,True,29.8171,73.7929,73.7929,True,26.1313,86.5508,86.5508,True,13.9378,78.3926,78.3926,True
