FOV_deg,gamma_th1_dB_ServicioMinimo,gamma_th2_dB_ServicioObjetivo,Pout_ServicioMinimo,Pout_ServicioObjetivo
5.0,-3.8278,13.5401,0.0000,0.0000
10.0,-3.8278,13.5401,0.0000,0.0000
20.0,-3.8278,13.5401,0.0000,0.0000
30.0,-3.8278,13.5401,0.0000,0.0000
40.0,-3.8278,13.5401,0.0000,0.0000
50.0,-3.8278,13.5401,0.0000,0.0000
60.0,-3.8278,13.5401,0.0000,0.0000
70.0,-3.8278,13.5401,0.0000,0.0000
80.0,-3.8278,13.5401,0.0000,0.0000
90.0,-3.8278,13.5401,0.0000,0.0000
