FOV_deg,Asiento1_LOS_dB,Asiento1_DIFF_dB,Asiento1_Hybrid_dB,Asiento1_usaDIFF,Asiento2_LOS_dB,Asiento2_DIFF_dB,Asiento2_Hybrid_dB,Asiento2_usaDIFF,Asiento3_LOS_dB,Asiento3_DIFF_dB,Asiento3_Hybrid_dB,Asiento3_usaDIFF,Asiento4_LOS_dB,Asiento4_DIFF_dB,Asiento4_Hybrid_dB,Asiento4_usaDIFF
10.0,-3.5218,74.4425,74.4425,True,7.9588,67.0149,67.0149,True,5.1054,77.4634,77.4634,True,1.3389,67.0149,67.0149,True
20.0,31.6413,74.6310,74.6310,True,28.2690,70.1153,70.1153,True,27.9890,72.0525,72.0525,True,33.4111,67.2386,67.2386,True
30.0,9.0006,73.6767,73.6767,True,39.7819,69.0469,69.0469,True,38.6255,76.3219,76.3219,True,9.0231,63.1997,63.1997,True
40.0,13.7456,74.2735,74.2735,True,40.6496,69.3569,69.3569,True,41.0905,90.5894,90.5894,True,13.8517,62.9483,62.9483,True
50.0,14.2608,73.5979,73.5979,True,38.7496,69.6147,69.6147,True,30.6426,89.0490,89.0490,True,14.1838,81.2791,81.2791,True
60.0,14.2008,73.0708,73.0708,True,37.0298,70.5521,70.5521,True,30.1457,87.9799,87.9799,True,14.0092,80.1103,80.1103,True
70.0,14.1333,72.2253,72.2253,True,36.1116,69.7563,69.7563,True,29.8106,87.2589,87.2589,True,13.8790,79.4495,79.4495,True
80.0,13.7425,71.8169,71.8169,True,34.6553,74.8433,74.8433,True,29.6212,86.8580,86.8580,True,13.8162,78.9949,78.9949,True
90.0,13.7238,74.8890,74.8890,True,29.5581,74.6559,74.6559,True,26.3572,86.7298,86.7298,True,13.8081,78.8795,78.8795,True
