FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,13.6772,29.3574,25.8298,13.9416,20.7015,13.6772
10.0,13.6649,29.0174,26.0891,13.9416,20.6783,13.6649
20.0,13.7370,29.0974,26.3146,13.9068,20.7639,13.7370
30.0,13.6489,29.5056,25.6771,13.8683,20.6750,13.6489
40.0,13.7188,29.0900,26.0234,13.9152,20.6868,13.7188
50.0,13.7770,29.0583,26.2052,13.8501,20.7226,13.7770
60.0,13.6711,29.0416,26.1041,13.8453,20.6655,13.6711
70.0,13.6038,28.7964,26.0373,13.9104,20.5869,13.6038
80.0,13.7349,28.9340,25.9197,13.9480,20.6341,13.7349
90.0,13.7579,29.8680,26.2694,13.9859,20.9703,13.7579
