FOV_deg,SINR_dB_asiento1,SINR_dB_asiento2,SINR_dB_asiento3,SINR_dB_asiento4,SINR_prom_dB,SINR_min_dB
5.0,-62.1983,48.6650,18.8400,19.0329,6.0849,-62.1983
10.0,-inf,49.0921,18.9154,19.0210,-inf,-inf
20.0,-56.0896,49.5665,19.0322,18.9133,7.8556,-56.0896
30.0,-inf,48.8721,18.8879,18.9712,-inf,-inf
40.0,-inf,50.5935,18.8751,19.0289,-inf,-inf
50.0,-62.3056,54.2537,18.9971,19.0689,7.5035,-62.3056
60.0,-inf,48.6626,18.8542,19.0099,-inf,-inf
70.0,-inf,48.2275,18.8969,19.1742,-inf,-inf
80.0,-inf,50.8612,18.9142,19.0560,-inf,-inf
90.0,-inf,50.0910,18.9876,19.0640,-inf,-inf
