FOV_deg,Seat1_LOS_dB,Seat1_DIFF_dB,Seat1_Hybrid_dB,Seat1_usesDIFF,Seat2_LOS_dB,Seat2_DIFF_dB,Seat2_Hybrid_dB,Seat2_usesDIFF,Seat3_LOS_dB,Seat3_DIFF_dB,Seat3_Hybrid_dB,Seat3_usesDIFF,Seat4_LOS_dB,Seat4_DIFF_dB,Seat4_Hybrid_dB,Seat4_usesDIFF
10.0,64.3179,66.2496,66.2496,True,64.3245,66.2496,66.2496,True,64.3113,66.2496,66.2496,True,66.8140,-inf,66.8140,False
20.0,57.0325,64.2837,64.2837,True,56.4817,61.0868,61.0868,True,55.4554,71.4662,71.4662,True,60.5534,55.4175,60.5534,False
30.0,51.3348,70.5614,70.5614,True,50.7637,65.9797,65.9797,True,49.4624,70.5614,70.5614,True,54.1513,67.6483,67.6483,True
40.0,44.4843,69.7203,69.7203,True,45.4993,66.4115,66.4115,True,46.6391,70.0351,70.0351,True,47.5550,65.2416,65.2416,True
50.0,41.9414,70.1068,70.1068,True,43.2605,65.6583,65.6583,True,43.7391,69.4304,69.4304,True,44.2583,64.2581,64.2581,True
60.0,19.2237,70.8641,70.8641,True,19.4284,66.2881,66.2881,True,19.3812,69.3663,69.3663,True,19.4629,65.9797,65.9797,True
70.0,18.9327,84.6247,84.6247,True,19.1792,67.9900,67.9900,True,19.0592,84.6004,84.6004,True,19.2549,66.1760,66.1760,True
80.0,18.4402,84.1990,84.1990,True,18.9797,75.1241,75.1241,True,18.5476,84.1665,84.1665,True,19.0664,74.6754,74.6754,True
90.0,18.4209,84.0648,84.0648,True,18.9198,74.9863,74.9863,True,18.5288,84.0160,84.0160,True,19.0234,74.4814,74.4814,True
